Player,Pos,Age,Tm,G,FG,FG%,eFG%,PTS
Tyrese Maxey,SG,22,PHI,4,6.3,.431,.491,17.3
Kelly Oubre Jr.,SF,27,CHO,3,6.7,.465,.535,17.3
Jerami Grant,PF,28,POR,4,5.0,.476,.560,17
Jonas Valančiūnas,C,30,NOP,3,5.3,.457,.486,17
Kevin Huerter,SG,24,SAC,3,5.3,.457,.629,16.7
RJ Barrett,SG,22,NYK,3,6.0,.346,.375,16.3
Nic Claxton,C,23,BRK,3,7.0,.750,.750,16
Cedi Osman,SF,27,CLE,3,5.7,.567,.700,16
Fred VanVleet,PG,28,TOR,4,4.8,.422,.556,16
John Wall,PG,32,LAC,2,7.0,.519,.556,16
Kristaps Porziņģis,PF,27,WAS,3,6.0,.419,.500,15.7
Alperen Şengün,C,20,HOU,3,6.0,.581,.613,15.7
Kelly Olynyk,C,31,UTA,4,5.5,.611,.764,15.5
Jakob Poeltl,C,27,SAS,4,6.0,.600,.600,15.5
Terrence Ross,SG,31,ORL,4,5.8,.535,.663,15.3
Jabari Smith Jr.,PF,19,HOU,4,5.0,.357,.455,15.3
Lonnie Walker IV,SG,24,LAL,3,6.0,.439,.476,15.3
Spencer Dinwiddie,PG,29,DAL,2,6.0,.500,.625,15
Tobias Harris,PF,30,PHI,4,6.0,.490,.602,15
Marcus Morris,PF,33,LAC,3,6.3,.633,.700,15
Nick Richards,C,25,CHO,3,6.0,.692,.692,15
Franz Wagner,SF,21,ORL,4,6.3,.417,.458,15
De'Andre Hunter,SF,25,ATL,3,6.3,.500,.539,14.7
Rudy Gobert,C,30,MIN,4,6.3,.658,.658,14.5
Jaylen Nowell,SG,23,MIN,4,6.0,.421,.474,14.5
Scottie Barnes,SF,21,TOR,3,6.3,.514,.541,14.3
Wendell Carter Jr.,C,23,ORL,4,5.0,.455,.500,14.3
Luguentz Dort,SG,23,OKC,3,4.0,.300,.350,14.3
Josh Giddey,SG,20,OKC,3,6.3,.452,.500,14.3
Tre Jones,PG,23,SAS,4,5.0,.476,.512,14.3
Jordan Poole,SG,23,GSW,3,4.3,.382,.456,14.3
Domantas Sabonis,PF,26,SAC,3,5.0,.469,.469,14.3
Klay Thompson,SG,32,GSW,3,5.0,.405,.514,14
Bam Adebayo,C,25,MIA,4,5.3,.457,.457,13.8
Eric Gordon,SG,34,HOU,3,4.7,.438,.500,13.7
Jalen Smith,PF,22,IND,4,5.5,.489,.533,13.5
Buddy Hield,SG,30,IND,4,4.8,.404,.532,13.3
Evan Mobley,C,21,CLE,3,4.7,.560,.580,13.3
Trey Murphy III,SF,22,NOP,3,4.7,.519,.685,13.3
Dennis Smith Jr.,PG,25,CHO,3,5.7,.567,.650,13.3
Brook Lopez,C,34,MIL,2,4.5,.391,.543,13
P.J. Washington,PF,24,CHO,3,5.0,.455,.561,13
Santi Aldama,PF,22,MEM,4,4.5,.486,.568,12.8
Ayo Dosunmu,SG,23,CHI,4,5.3,.525,.638,12.8
Tim Hardaway Jr.,SG,30,DAL,2,3.0,.300,.375,12.5
Jrue Holiday,PG,32,MIL,2,5.0,.333,.383,12.5
Kawhi Leonard,SF,31,LAC,2,4.0,.444,.472,12.5
Max Strus,SF,26,MIA,4,4.8,.452,.548,12.5
Collin Sexton,SG,24,UTA,4,3.5,.400,.443,12.3
Jarrett Allen,C,24,CLE,3,5.0,.556,.556,12
Malcolm Brogdon,PG,30,BOS,4,4.5,.419,.465,12
Jamal Murray,PG,25,DEN,3,4.7,.378,.432,12
Bobby Portis,PF,27,MIL,2,5.5,.550,.600,12
Jalen Suggs,SG,21,ORL,2,4.5,.563,.688,12
OG Anunoby,SF,25,TOR,4,3.8,.385,.487,11.8
Jusuf Nurkić,C,28,POR,4,3.8,.417,.417,11.8
Josh Richardson,SG,29,SAS,4,4.0,.500,.641,11.8
Rui Hachimura,PF,24,WAS,3,4.7,.500,.554,11.7
Tre Mann,PG,21,OKC,3,4.7,.412,.471,11.7
Cam Reddish,SF,23,NYK,3,5.0,.556,.630,11.7
Grayson Allen,SG,27,MIL,2,3.0,.286,.381,11.5
Malik Beasley,SG,26,UTA,4,4.5,.419,.512,11.5
Kentavious Caldwell-Pope,SG,29,DEN,4,4.0,.444,.583,11.5
Caris LeVert,SG,28,CLE,3,3.3,.303,.409,11.3
Mikal Bridges,SF,26,PHO,3,4.7,.483,.500,11
Josh Hart,SG,27,POR,4,4.3,.531,.563,11
Tyus Jones,PG,26,MEM,4,4.3,.362,.447,11
Jaden McDaniels,PF,22,MIN,4,3.8,.500,.500,11
Isaiah Stewart,C,21,DET,3,2.7,.320,.380,11
Derrick White,SG,28,BOS,4,3.8,.455,.576,11
James Wiseman,C,21,GSW,3,4.3,.722,.722,11
Kyle Lowry,PG,36,MIA,4,2.8,.282,.372,10.8
Patty Mills,PG,34,BRK,3,3.0,.474,.684,10.7
Precious Achiuwa,PF,23,TOR,4,3.8,.395,.434,10.5
Cameron Johnson,PF,26,PHO,3,4.0,.429,.554,10.3
John Konchar,SG,26,MEM,4,3.8,.517,.690,10.3
Mike Muscala,C,31,OKC,3,3.7,.550,.675,10.3
Jeremiah Robinson-Earl,PF,22,OKC,3,3.7,.733,.967,10.3
Russell Westbrook,PG,34,LAL,3,3.7,.289,.303,10.3
Bol Bol,PF,23,ORL,4,4.3,.654,.673,10
Chris Boucher,PF,30,TOR,1,4.0,.800,1.000,10
Evan Fournier,SG,30,NYK,3,3.0,.333,.463,10
Bones Hyland,PG,22,DEN,4,3.0,.364,.455,10
Bruce Brown,PG,26,DEN,4,4.0,.516,.581,9.8
Mike Conley,PG,35,UTA,4,3.3,.317,.390,9.8
Marcus Smart,PG,28,BOS,4,3.3,.382,.456,9.8
Jarred Vanderbilt,PF,23,UTA,4,4.0,.615,.654,9.8
Will Barton,SG,32,WAS,3,3.7,.407,.463,9.7
