Player,Pos,Age,G,FG,FG%,eFG%,PTS
Isaiah Stewart,C,23,72,2.4,0.559,0.586,6
James Wiseman,C,23,1,2,0.5,0.5,6
Isaiah Wong,SG,24,20,2.1,0.39,0.452,6
Colin Castleton,C,24,5,2.4,0.5,0.5,6
David Roddy,PF,23,3,2.7,0.421,0.474,6
Cole Swider,SF,25,10,2.2,0.349,0.468,5.9
Chuma Okeke,PF,26,9,2.2,0.5,0.638,5.9
Kyle Anderson,PF,31,61,2.3,0.469,0.51,5.9
Simone Fontecchio,SF,29,75,2,0.402,0.504,5.9
Collin Gillespie,PG,25,33,2.1,0.43,0.554,5.9
Tidjane Salaün,PF,19,60,1.9,0.33,0.414,5.9
Jaylin Williams,PF,22,47,2.1,0.439,0.577,5.9
Moses Brown,C,25,13,2.6,0.694,0.694,5.8
Adem Bona,C,21,58,2.3,0.703,0.703,5.8
Quenton Jackson,PG,26,28,2.1,0.475,0.537,5.8
